Date,Day_of_Week,Month,Time,Source,Action,Entry_Price,Target_Price,Stop_Loss,Risk_Reward_Ratio,Profit_Target_Percentage,Market_Sentiment,Technical_Pattern,Support_Level,Resistance_Level,Expected_Movement,Sector_Insight,Nifty_Range,Support,Resistance,Open,High,Low,Close,Range_Flag
2024-11-29,Friday,November,9:00 AM - MARKET OPEN,CNBC-TV18,BUY,25727.0,26313.91,25379.88,1:1.69,2.28%,NEUTRAL,Higher High-Higher Low | Bull Run Continues,25877,26869,UPSIDE: 128 points,Q3 earnings season | Corporate profits robust,25877 - 26869,25877.0,26869.0,23927.15,24188.45,23927.15,24131.1,BREACHED_BELOW
2024-12-02,Monday,December,9:00 AM - MARKET OPEN,CNBC-TV18,SELL,25598.4,24865.66,25994.68,1:1.85,2.86%,MODERATELY BULLISH,Triangle Breakout | Directional Move,25969,26997,DOWNSIDE: 134 points,DII support strong | Domestic funds accumulating,25969 - 26997,25969.0,26997.0,24140.85,24301.7,24008.65,24276.05,BREACHED_BELOW
2024-12-03,Tuesday,December,9:00 AM - MARKET OPEN,CNBC-TV18,SELL,26348.8,25137.55,26740.94,1:3.09,4.6%,NEUTRAL/BULLISH,RSI Overbought | Consolidation Zone,25843,26935,DOWNSIDE: 168 points,"Auto sector rally on festival demand | Maruti, Bajaj strong",25843 - 26935,25843.0,26935.0,24367.5,24481.35,24280.0,24457.15,BREACHED_BELOW
2024-12-04,Wednesday,December,9:00 AM - MARKET OPEN,CNBC-TV18,BUY,25821.2,26907.86,25414.63,1:2.67,4.21%,NEUTRAL,Triangle Breakout | Directional Move,25891,26898,UPSIDE: 98 points,"FMCG holding support | ITC, HUL steady amid volatility",25891 - 26898,25891.0,26898.0,24488.75,24573.2,24366.3,24467.45,BREACHED_BELOW
2024-12-05,Thursday,December,9:00 AM - MARKET OPEN,CNBC-TV18,BUY,26087.6,27091.08,25804.29,1:3.54,3.85%,STRONG BULLISH,Bearish Divergence | Profit Taking,25938,26963,UPSIDE: 171 points,"IT sector weakness capping gains | TCS, Infosys selling pressure",25938 - 26963,25938.0,26963.0,24539.15,24857.75,24295.55,24708.4,BREACHED_BELOW
2024-12-06,Friday,December,9:00 AM - MARKET OPEN,CNBC-TV18,SELL,25594.0,24796.16,25995.02,1:1.99,3.12%,MODERATELY BULLISH,Head & Shoulders | Downside Risk,25905,26807,DOWNSIDE: 73 points,Cement stocks stable | UltraTech holding ground,25905 - 26807,25905.0,26807.0,24729.45,24751.05,24620.5,24677.8,BREACHED_BELOW
2024-12-09,Monday,December,9:00 AM - MARKET OPEN,CNBC-TV18,SELL,26058.4,24979.03,26551.92,1:2.19,4.14%,STRONG BULLISH,RSI Overbought | Consolidation Zone,25816,26893,DOWNSIDE: 129 points,"IT sector weakness capping gains | TCS, Infosys selling pressure",25816 - 26893,25816.0,26893.0,24633.9,24705.0,24580.05,24619.0,BREACHED_BELOW
2024-12-10,Tuesday,December,9:00 AM - MARKET OPEN,CNBC-TV18,BUY,26219.8,27439.76,25921.47,1:4.09,4.65%,MODERATELY BULLISH,Head & Shoulders | Downside Risk,25934,26907,UPSIDE: 65 points,Telecom strength | Bharti Airtel gains on tariff hikes,25934 - 26907,25934.0,26907.0,24652.65,24677.8,24510.65,24610.05,BREACHED_BELOW
2024-12-11,Wednesday,December,9:00 AM - MARKET OPEN,CNBC-TV18,BUY,26283.2,27264.79,25948.33,1:2.93,3.73%,NEUTRAL/BULLISH,RSI Overbought | Consolidation Zone,25926,26918,UPSIDE: 154 points,Cement stocks stable | UltraTech holding ground,25926 - 26918,25926.0,26918.0,24620.5,24691.75,24583.85,24641.8,BREACHED_BELOW
2024-12-12,Thursday,December,9:00 AM - MARKET OPEN,CNBC-TV18,BUY,25646.6,26552.92,25173.61,1:1.92,3.53%,NEUTRAL,Higher High-Higher Low | Bull Run Continues,25931,26911,UPSIDE: 184 points,FII flows remain positive | Foreign buying continues,25931 - 26911,25931.0,26911.0,24604.45,24675.25,24527.95,24548.7,BREACHED_BELOW
