Date,Day_of_Week,Month,Time,Source,Action,Entry_Price,Target_Price,Stop_Loss,Risk_Reward_Ratio,Profit_Target_Percentage,Market_Sentiment,Technical_Pattern,Support_Level,Resistance_Level,Expected_Movement,Sector_Insight,Nifty_Range,Support,Resistance,Open,High,Low,Close,Range_Flag
2024-11-29,Friday,November,9:00 AM - MARKET OPEN,Economic Times Live,BUY,25894.0,26950.94,25563.87,1:3.2,4.08%,MODERATELY BULLISH,Support Breach | Watch 25800,25939,26812,UPSIDE: 106 points,"Pharma rotation | Dr Reddy, Sun Pharma outperformers",25939 - 26812,25939.0,26812.0,23927.15,24188.45,23927.15,24131.1,BREACHED_BELOW
2024-12-02,Monday,December,9:00 AM - MARKET OPEN,Economic Times Live,BUY,26237.4,27022.39,25740.53,1:1.58,2.99%,NEUTRAL/BULLISH,Support Breach | Watch 25800,25936,26922,UPSIDE: 175 points,"Pharma rotation | Dr Reddy, Sun Pharma outperformers",25936 - 26922,25936.0,26922.0,24140.85,24301.7,24008.65,24276.05,BREACHED_BELOW
2024-12-03,Tuesday,December,9:00 AM - MARKET OPEN,Economic Times Live,BUY,26404.8,27653.27,25941.64,1:2.7,4.73%,BULLISH,Golden Cross | Resistance at 27000,25894,26938,UPSIDE: 163 points,"Banking stocks driving rally | HDFC Bank, ICICI Bank, Axis Bank gains",25894 - 26938,25894.0,26938.0,24367.5,24481.35,24280.0,24457.15,BREACHED_BELOW
2024-12-04,Wednesday,December,9:00 AM - MARKET OPEN,Economic Times Live,BUY,26107.2,27319.48,25710.23,1:3.05,4.64%,NEUTRAL,Higher High-Higher Low | Bull Run Continues,25867,26925,UPSIDE: 115 points,"Auto sector rally on festival demand | Maruti, Bajaj strong",25867 - 26925,25867.0,26925.0,24488.75,24573.2,24366.3,24467.45,BREACHED_BELOW
2024-12-05,Thursday,December,9:00 AM - MARKET OPEN,Economic Times Live,BUY,25878.6,26567.73,25459.58,1:1.64,2.66%,MODERATELY BULLISH,Breakout above 26500 | Momentum Building,25815,26865,UPSIDE: 119 points,"Pharma rotation | Dr Reddy, Sun Pharma outperformers",25815 - 26865,25815.0,26865.0,24539.15,24857.75,24295.55,24708.4,BREACHED_BELOW
2024-12-06,Friday,December,9:00 AM - MARKET OPEN,Economic Times Live,BUY,26085.0,27031.09,25802.54,1:3.35,3.63%,NEUTRAL,Bearish Divergence | Profit Taking,25848,26873,UPSIDE: 171 points,"Auto sector rally on festival demand | Maruti, Bajaj strong",25848 - 26873,25848.0,26873.0,24729.45,24751.05,24620.5,24677.8,BREACHED_BELOW
2024-12-09,Monday,December,9:00 AM - MARKET OPEN,Economic Times Live,SELL,26316.4,25691.13,26724.05,1:1.53,2.38%,MODERATELY BULLISH,Head & Shoulders | Downside Risk,25887,26858,DOWNSIDE: 146 points,Telecom strength | Bharti Airtel gains on tariff hikes,25887 - 26858,25887.0,26858.0,24633.9,24705.0,24580.05,24619.0,BREACHED_BELOW
2024-12-10,Tuesday,December,9:00 AM - MARKET OPEN,Economic Times Live,BUY,26257.8,26854.61,25770.28,1:1.22,2.27%,NEUTRAL,Triangle Breakout | Directional Move,25906,26995,UPSIDE: 125 points,"Auto sector rally on festival demand | Maruti, Bajaj strong",25906 - 26995,25906.0,26995.0,24652.65,24677.8,24510.65,24610.05,BREACHED_BELOW
2024-12-11,Wednesday,December,9:00 AM - MARKET OPEN,Economic Times Live,BUY,25983.2,26918.88,25681.95,1:3.11,3.6%,NEUTRAL,Golden Cross | Resistance at 27000,25817,26817,UPSIDE: 174 points,FII flows remain positive | Foreign buying continues,25817 - 26817,25817.0,26817.0,24620.5,24691.75,24583.85,24641.8,BREACHED_BELOW
2024-12-12,Thursday,December,9:00 AM - MARKET OPEN,Economic Times Live,BUY,26332.6,27251.82,25882.2,1:2.04,3.49%,MODERATELY BULLISH,Golden Cross | Resistance at 27000,25892,26896,UPSIDE: 168 points,Q3 earnings season | Corporate profits robust,25892 - 26896,25892.0,26896.0,24604.45,24675.25,24527.95,24548.7,BREACHED_BELOW
