Date,Day_of_Week,Month,Time,Source,Action,Entry_Price,Target_Price,Stop_Loss,Risk_Reward_Ratio,Profit_Target_Percentage,Market_Sentiment,Technical_Pattern,Support_Level,Resistance_Level,Expected_Movement,Sector_Insight,Nifty_Range,Support,Resistance,Open,High,Low,Close,Range_Flag
2024-11-29,Friday,November,9:00 AM - MARKET OPEN,Financial Express,BUY,26167.0,27031.14,25668.47,1:1.73,3.3%,BULLISH,Head & Shoulders | Downside Risk,25886,26824,UPSIDE: 180 points,"Pharma rotation | Dr Reddy, Sun Pharma outperformers",25886 - 26824,25886.0,26824.0,23927.15,24188.45,23927.15,24131.1,BREACHED_BELOW
2024-12-02,Monday,December,9:00 AM - MARKET OPEN,Financial Express,SELL,25683.4,24782.82,26027.19,1:2.62,3.51%,BULLISH,Triangle Breakout | Directional Move,25851,26849,DOWNSIDE: 117 points,"Metals weakness | Tata Steel, JSW Steel under pressure",25851 - 26849,25851.0,26849.0,24140.85,24301.7,24008.65,24276.05,BREACHED_BELOW
2024-12-03,Tuesday,December,9:00 AM - MARKET OPEN,Financial Express,BUY,26293.8,27347.23,25803.84,1:2.15,4.01%,NEUTRAL,Moving Average Crossover | Trend Change,25980,26925,UPSIDE: 178 points,Energy stocks leading | Oil majors positive on crude rally,25980 - 26925,25980.0,26925.0,24367.5,24481.35,24280.0,24457.15,BREACHED_BELOW
2024-12-04,Wednesday,December,9:00 AM - MARKET OPEN,Financial Express,SELL,25704.2,24735.76,26071.55,1:2.64,3.77%,BULLISH,Moving Average Crossover | Trend Change,25890,26840,DOWNSIDE: 182 points,"IT sector weakness capping gains | TCS, Infosys selling pressure",25890 - 26840,25890.0,26840.0,24488.75,24573.2,24366.3,24467.45,BREACHED_BELOW
2024-12-05,Thursday,December,9:00 AM - MARKET OPEN,Financial Express,BUY,26272.6,27024.73,25837.61,1:1.73,2.86%,NEUTRAL/BULLISH,Double Bottom | Reversal Expected,25886,26860,UPSIDE: 197 points,"Infrastructure boom | Larsen & Toubro, L&T Infotech gains",25886 - 26860,25886.0,26860.0,24539.15,24857.75,24295.55,24708.4,BREACHED_BELOW
2024-12-06,Friday,December,9:00 AM - MARKET OPEN,Financial Express,SELL,25966.0,24751.24,26453.97,1:2.49,4.68%,NEUTRAL/BULLISH,Bollinger Bands Squeeze | Volatility Expected,25811,26826,DOWNSIDE: 136 points,"Metals weakness | Tata Steel, JSW Steel under pressure",25811 - 26826,25811.0,26826.0,24729.45,24751.05,24620.5,24677.8,BREACHED_BELOW
2024-12-09,Monday,December,9:00 AM - MARKET OPEN,Financial Express,BUY,25644.4,26665.08,25152.05,1:2.07,3.98%,STRONG BULLISH,Bullish Engulfing | Support at 26000,25861,26840,UPSIDE: 147 points,DII support strong | Domestic funds accumulating,25861 - 26840,25861.0,26840.0,24633.9,24705.0,24580.05,24619.0,BREACHED_BELOW
2024-12-10,Tuesday,December,9:00 AM - MARKET OPEN,Financial Express,BUY,25743.8,26564.12,25481.1,1:3.12,3.19%,NEUTRAL,Moving Average Crossover | Trend Change,25995,26935,UPSIDE: 129 points,"Metals weakness | Tata Steel, JSW Steel under pressure",25995 - 26935,25995.0,26935.0,24652.65,24677.8,24510.65,24610.05,BREACHED_BELOW
2024-12-11,Wednesday,December,9:00 AM - MARKET OPEN,Financial Express,SELL,25882.2,25258.1,26342.28,1:1.36,2.41%,BULLISH,Bullish Engulfing | Support at 26000,25856,26864,DOWNSIDE: 146 points,"Infrastructure boom | Larsen & Toubro, L&T Infotech gains",25856 - 26864,25856.0,26864.0,24620.5,24691.75,24583.85,24641.8,BREACHED_BELOW
2024-12-12,Thursday,December,9:00 AM - MARKET OPEN,Financial Express,BUY,26526.6,27723.65,26090.54,1:2.75,4.51%,STRONG BULLISH,Bearish Divergence | Profit Taking,25803,26800,UPSIDE: 54 points,Cement stocks stable | UltraTech holding ground,25803 - 26800,25803.0,26800.0,24604.45,24675.25,24527.95,24548.7,BREACHED_BELOW
2024-12-13,Friday,December,9:00 AM - MARKET OPEN,Financial Express,SELL,25989.0,24872.67,26373.08,1:2.91,4.3%,MODERATELY BULLISH,Double Bottom | Reversal Expected,25827,26961,DOWNSIDE: 66 points,"Banking stocks driving rally | HDFC Bank, ICICI Bank, Axis Bank gains",25827 - 26961,25827.0,26961.0,24498.35,24792.3,24180.8,24768.3,BREACHED_BELOW
2024-12-16,Monday,December,9:00 AM - MARKET OPEN,Financial Express,SELL,26175.4,25446.54,26673.78,1:1.46,2.78%,NEUTRAL,Head & Shoulders | Downside Risk,25954,26844,DOWNSIDE: 59 points,DII support strong | Domestic funds accumulating,25954 - 26844,25954.0,26844.0,24753.4,24781.25,24601.75,24668.25,BREACHED_BELOW
2024-12-17,Tuesday,December,9:00 AM - MARKET OPEN,Financial Express,SELL,26325.8,25783.36,26596.6,1:2.0,2.06%,NEUTRAL,Moving Average Crossover | Trend Change,25965,26984,DOWNSIDE: 84 points,"IT sector weakness capping gains | TCS, Infosys selling pressure",25965 - 26984,25965.0,26984.0,24584.8,24624.1,24303.45,24336.0,BREACHED_BELOW
2024-12-18,Wednesday,December,9:00 AM - MARKET OPEN,Financial Express,SELL,25997.2,24766.45,26366.61,1:3.33,4.73%,STRONG BULLISH,Bearish Divergence | Profit Taking,25964,26836,DOWNSIDE: 118 points,Q3 earnings season | Corporate profits robust,25964 - 26836,25964.0,26836.0,24297.95,24394.45,24149.85,24198.85,BREACHED_BELOW
2024-12-19,Thursday,December,9:00 AM - MARKET OPEN,Financial Express,BUY,26084.6,27263.04,25797.5,1:4.1,4.52%,BULLISH,Double Bottom | Reversal Expected,25949,26943,UPSIDE: 60 points,"Pharma rotation | Dr Reddy, Sun Pharma outperformers",25949 - 26943,25949.0,26943.0,23877.15,24004.9,23870.3,23951.7,BREACHED_BELOW
2024-12-20,Friday,December,9:00 AM - MARKET OPEN,Financial Express,BUY,25700.0,26423.67,25236.69,1:1.56,2.82%,STRONG BULLISH,Bullish Engulfing | Support at 26000,25840,26823,UPSIDE: 74 points,Cement stocks stable | UltraTech holding ground,25840 - 26823,25840.0,26823.0,23960.7,24065.8,23537.35,23587.5,BREACHED_BELOW
