Date,Day_of_Week,Month,Time,Source,Action,Entry_Price,Target_Price,Stop_Loss,Risk_Reward_Ratio,Profit_Target_Percentage,Market_Sentiment,Technical_Pattern,Support_Level,Resistance_Level,Expected_Movement,Sector_Insight,Nifty_Range,Support,Resistance,Open,High,Low,Close,Range_Flag
2024-11-29,Friday,November,9:00 AM - MARKET OPEN,India Today Business,BUY,25985.0,27129.8,25714.73,1:4.24,4.41%,STRONG BULLISH,Golden Cross | Resistance at 27000,25997,26847,UPSIDE: 184 points,"IT sector weakness capping gains | TCS, Infosys selling pressure",25997 - 26847,25997.0,26847.0,23927.15,24188.45,23927.15,24131.1,BREACHED_BELOW
2024-12-02,Monday,December,9:00 AM - MARKET OPEN,India Today Business,SELL,25814.4,25239.0,26308.1,1:1.17,2.23%,NEUTRAL,RSI Overbought | Consolidation Zone,25907,26884,DOWNSIDE: 165 points,"Realty sector gaining traction | DLF, Oberoi up",25907 - 26884,25907.0,26884.0,24140.85,24301.7,24008.65,24276.05,BREACHED_BELOW
2024-12-03,Tuesday,December,9:00 AM - MARKET OPEN,India Today Business,SELL,26356.8,25442.47,26822.86,1:1.96,3.47%,NEUTRAL,Breakout above 26500 | Momentum Building,25880,26870,DOWNSIDE: 160 points,Cement stocks stable | UltraTech holding ground,25880 - 26870,25880.0,26870.0,24367.5,24481.35,24280.0,24457.15,BREACHED_BELOW
2024-12-04,Wednesday,December,9:00 AM - MARKET OPEN,India Today Business,BUY,25861.2,26397.33,25429.36,1:1.24,2.07%,BULLISH,Double Bottom | Reversal Expected,25801,26994,UPSIDE: 131 points,"Chemical sector focus | Atul, Bayer gains on exports",25801 - 26994,25801.0,26994.0,24488.75,24573.2,24366.3,24467.45,BREACHED_BELOW
2024-12-05,Thursday,December,9:00 AM - MARKET OPEN,India Today Business,SELL,26227.6,25287.08,26592.28,1:2.58,3.59%,NEUTRAL,Head & Shoulders | Downside Risk,25934,26850,DOWNSIDE: 190 points,"FMCG holding support | ITC, HUL steady amid volatility",25934 - 26850,25934.0,26850.0,24539.15,24857.75,24295.55,24708.4,BREACHED_BELOW
2024-12-06,Friday,December,9:00 AM - MARKET OPEN,India Today Business,SELL,25580.0,24613.74,25897.38,1:3.04,3.78%,BULLISH,Bearish Divergence | Profit Taking,25910,26969,DOWNSIDE: 190 points,DII support strong | Domestic funds accumulating,25910 - 26969,25910.0,26969.0,24729.45,24751.05,24620.5,24677.8,BREACHED_BELOW
2024-12-09,Monday,December,9:00 AM - MARKET OPEN,India Today Business,BUY,25904.4,27188.56,25580.7,1:3.97,4.96%,NEUTRAL,Triangle Breakout | Directional Move,25888,26841,UPSIDE: 110 points,Energy stocks leading | Oil majors positive on crude rally,25888 - 26841,25888.0,26841.0,24633.9,24705.0,24580.05,24619.0,BREACHED_BELOW
2024-12-10,Tuesday,December,9:00 AM - MARKET OPEN,India Today Business,BUY,26275.8,27213.58,25924.73,1:2.67,3.57%,NEUTRAL,Higher High-Higher Low | Bull Run Continues,25888,26865,UPSIDE: 195 points,Cement stocks stable | UltraTech holding ground,25888 - 26865,25888.0,26865.0,24652.65,24677.8,24510.65,24610.05,BREACHED_BELOW
2024-12-11,Wednesday,December,9:00 AM - MARKET OPEN,India Today Business,SELL,26251.2,25072.76,26636.32,1:3.06,4.49%,NEUTRAL,Bullish Engulfing | Support at 26000,25834,26861,DOWNSIDE: 75 points,DII support strong | Domestic funds accumulating,25834 - 26861,25834.0,26861.0,24620.5,24691.75,24583.85,24641.8,BREACHED_BELOW
2024-12-12,Thursday,December,9:00 AM - MARKET OPEN,India Today Business,BUY,26362.6,27232.34,25880.88,1:1.81,3.3%,BULLISH,Support Breach | Watch 25800,25818,26983,UPSIDE: 55 points,"Banking stocks driving rally | HDFC Bank, ICICI Bank, Axis Bank gains",25818 - 26983,25818.0,26983.0,24604.45,24675.25,24527.95,24548.7,BREACHED_BELOW
2024-12-13,Friday,December,9:00 AM - MARKET OPEN,India Today Business,SELL,25853.0,25143.73,26363.08,1:1.39,2.74%,NEUTRAL,Higher High-Higher Low | Bull Run Continues,25803,26805,DOWNSIDE: 53 points,"Metals weakness | Tata Steel, JSW Steel under pressure",25803 - 26805,25803.0,26805.0,24498.35,24792.3,24180.8,24768.3,BREACHED_BELOW
2024-12-16,Monday,December,9:00 AM - MARKET OPEN,India Today Business,SELL,25661.4,24881.31,26010.68,1:2.23,3.04%,STRONG BULLISH,Bollinger Bands Squeeze | Volatility Expected,25874,26868,DOWNSIDE: 102 points,Telecom strength | Bharti Airtel gains on tariff hikes,25874 - 26868,25874.0,26868.0,24753.4,24781.25,24601.75,24668.25,BREACHED_BELOW
2024-12-17,Tuesday,December,9:00 AM - MARKET OPEN,India Today Business,BUY,26512.8,27556.35,26238.81,1:3.81,3.94%,NEUTRAL,Triangle Breakout | Directional Move,25990,26851,UPSIDE: 84 points,Cement stocks stable | UltraTech holding ground,25990 - 26851,25990.0,26851.0,24584.8,24624.1,24303.45,24336.0,BREACHED_BELOW
2024-12-18,Wednesday,December,9:00 AM - MARKET OPEN,India Today Business,BUY,26198.2,27421.28,25876.04,1:3.8,4.67%,STRONG BULLISH,Support Breach | Watch 25800,25910,26815,UPSIDE: 137 points,FII flows remain positive | Foreign buying continues,25910 - 26815,25910.0,26815.0,24297.95,24394.45,24149.85,24198.85,BREACHED_BELOW
2024-12-19,Thursday,December,9:00 AM - MARKET OPEN,India Today Business,BUY,26577.6,27479.59,26273.32,1:2.96,3.39%,NEUTRAL,Breakout above 26500 | Momentum Building,25820,26923,UPSIDE: 169 points,Cement stocks stable | UltraTech holding ground,25820 - 26923,25820.0,26923.0,23877.15,24004.9,23870.3,23951.7,BREACHED_BELOW
2024-12-20,Friday,December,9:00 AM - MARKET OPEN,India Today Business,SELL,26003.0,25462.18,26428.83,1:1.27,2.08%,NEUTRAL/BEARISH,Moving Average Crossover | Trend Change,25971,26952,DOWNSIDE: 130 points,"Auto sector rally on festival demand | Maruti, Bajaj strong",25971 - 26952,25971.0,26952.0,23960.7,24065.8,23537.35,23587.5,BREACHED_BELOW
2024-12-23,Monday,December,9:00 AM - MARKET OPEN,India Today Business,SELL,26549.4,25264.43,26834.82,1:4.5,4.84%,BULLISH,Double Bottom | Reversal Expected,25861,26952,DOWNSIDE: 139 points,"Auto sector rally on festival demand | Maruti, Bajaj strong",25861 - 26952,25861.0,26952.0,23738.2,23869.55,23647.2,23753.45,BREACHED_BELOW
2024-12-24,Tuesday,December,9:00 AM - MARKET OPEN,India Today Business,BUY,26371.8,27151.38,26010.44,1:2.16,2.96%,MODERATELY BULLISH,Bearish Divergence | Profit Taking,25852,26963,UPSIDE: 162 points,Q3 earnings season | Corporate profits robust,25852 - 26963,25852.0,26963.0,23769.1,23867.65,23685.15,23727.65,BREACHED_BELOW
2024-12-26,Thursday,December,9:00 AM - MARKET OPEN,India Today Business,BUY,26045.2,26878.01,25591.59,1:1.84,3.2%,NEUTRAL,Bollinger Bands Squeeze | Volatility Expected,25852,26822,UPSIDE: 84 points,DII support strong | Domestic funds accumulating,25852 - 26822,25852.0,26822.0,23775.8,23854.5,23653.6,23750.2,BREACHED_BELOW
2024-12-27,Friday,December,9:00 AM - MARKET OPEN,India Today Business,BUY,26277.6,27129.73,25759.95,1:1.65,3.24%,BULLISH,Golden Cross | Resistance at 27000,25831,26809,UPSIDE: 180 points,"Realty sector gaining traction | DLF, Oberoi up",25831 - 26809,25831.0,26809.0,23801.4,23938.85,23800.6,23813.4,BREACHED_BELOW
