Date,Day_of_Week,Month,Time,Source,Action,Entry_Price,Target_Price,Stop_Loss,Risk_Reward_Ratio,Profit_Target_Percentage,Market_Sentiment,Technical_Pattern,Support_Level,Resistance_Level,Expected_Movement,Sector_Insight,Nifty_Range,Support,Resistance,Open,High,Low,Close,Range_Flag
2024-11-29,Friday,November,9:00 AM - MARKET OPEN,Times Now Business,BUY,25535.0,26231.27,25126.95,1:1.71,2.73%,BULLISH,Support Breach | Watch 25800,25864,26819,UPSIDE: 169 points,Q3 earnings season | Corporate profits robust,25864 - 26819,25864.0,26819.0,23927.15,24188.45,23927.15,24131.1,BREACHED_BELOW
2024-12-02,Monday,December,9:00 AM - MARKET OPEN,Times Now Business,BUY,26187.4,27404.56,25706.9,1:2.53,4.65%,BULLISH,Bullish Engulfing | Support at 26000,25836,26935,UPSIDE: 105 points,Telecom strength | Bharti Airtel gains on tariff hikes,25836 - 26935,25836.0,26935.0,24140.85,24301.7,24008.65,24276.05,BREACHED_BELOW
2024-12-03,Tuesday,December,9:00 AM - MARKET OPEN,Times Now Business,BUY,25751.8,26294.78,25270.92,1:1.13,2.11%,NEUTRAL/BULLISH,Support Breach | Watch 25800,25907,26919,UPSIDE: 54 points,Cement stocks stable | UltraTech holding ground,25907 - 26919,25907.0,26919.0,24367.5,24481.35,24280.0,24457.15,BREACHED_BELOW
2024-12-04,Wednesday,December,9:00 AM - MARKET OPEN,Times Now Business,SELL,26518.2,25485.05,26894.09,1:2.75,3.9%,STRONG BULLISH,Golden Cross | Resistance at 27000,25858,26987,DOWNSIDE: 115 points,"Infrastructure boom | Larsen & Toubro, L&T Infotech gains",25858 - 26987,25858.0,26987.0,24488.75,24573.2,24366.3,24467.45,BREACHED_BELOW
2024-12-05,Thursday,December,9:00 AM - MARKET OPEN,Times Now Business,SELL,26194.6,25495.15,26642.5,1:1.56,2.67%,NEUTRAL/BULLISH,Double Bottom | Reversal Expected,25872,26815,DOWNSIDE: 188 points,DII support strong | Domestic funds accumulating,25872 - 26815,25872.0,26815.0,24539.15,24857.75,24295.55,24708.4,BREACHED_BELOW
2024-12-06,Friday,December,9:00 AM - MARKET OPEN,Times Now Business,SELL,26274.0,25109.51,26705.47,1:2.7,4.43%,MODERATELY BULLISH,Bollinger Bands Squeeze | Volatility Expected,25854,26831,DOWNSIDE: 67 points,"Realty sector gaining traction | DLF, Oberoi up",25854 - 26831,25854.0,26831.0,24729.45,24751.05,24620.5,24677.8,BREACHED_BELOW
2024-12-09,Monday,December,9:00 AM - MARKET OPEN,Times Now Business,SELL,26033.4,24865.29,26417.48,1:3.04,4.49%,BULLISH,Bullish Engulfing | Support at 26000,25933,26964,DOWNSIDE: 179 points,"IT sector weakness capping gains | TCS, Infosys selling pressure",25933 - 26964,25933.0,26964.0,24633.9,24705.0,24580.05,24619.0,BREACHED_BELOW
2024-12-10,Tuesday,December,9:00 AM - MARKET OPEN,Times Now Business,BUY,26461.8,27187.79,26139.13,1:2.25,2.74%,NEUTRAL/BULLISH,Double Bottom | Reversal Expected,25836,26813,UPSIDE: 187 points,"Auto sector rally on festival demand | Maruti, Bajaj strong",25836 - 26813,25836.0,26813.0,24652.65,24677.8,24510.65,24610.05,BREACHED_BELOW
2024-12-11,Wednesday,December,9:00 AM - MARKET OPEN,Times Now Business,SELL,25948.2,25060.25,26229.4,1:3.16,3.42%,STRONG BULLISH,Support Breach | Watch 25800,25861,27000,DOWNSIDE: 162 points,Telecom strength | Bharti Airtel gains on tariff hikes,25861 - 27000,25861.0,27000.0,24620.5,24691.75,24583.85,24641.8,BREACHED_BELOW
2024-12-12,Thursday,December,9:00 AM - MARKET OPEN,Times Now Business,BUY,26307.6,27354.83,25946.46,1:2.9,3.98%,STRONG BULLISH,Higher High-Higher Low | Bull Run Continues,25849,26919,UPSIDE: 90 points,DII support strong | Domestic funds accumulating,25849 - 26919,25849.0,26919.0,24604.45,24675.25,24527.95,24548.7,BREACHED_BELOW
